praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
23.5,13.6,40.7,372.0,37.9,4.96,14.1,851.0,9.14,30.0,85.8
16.5,14.7,14.9,79.9,37.9,2.76,6.98,213.0,1.81,8.43,51.4
17.8,18.9,15.3,396.0,48.7,25.0,52.3,750.0,16.3,49.1,75.7
5.88,8.51,28.9,26.2,7.3,73.0,112.0,1219.0,1.0,20.7,47.4
17.3,18.9,14.6,19.1,5.14,16.5,32.2,710.0,1.0,1.0,30.2
47.4,40.0,20.9,21.7,15.8,81.3,121.0,1877.0,7.3,28.1,93.1
10.6,12.7,11.0,124.0,22.5,11.5,37.5,770.0,6.73,27.1,60.4
10.3,15.0,37.2,34.9,14.6,89.0,133.0,407.0,15.1,46.1,85.1
13.7,16.5,4.83,18.4,1.22,21.9,27.4,610.0,2.05,19.1,75.7
25.5,17.9,22.3,17.2,17.5,13.7,23.1,604.0,31.3,45.7,72.3
13.2,15.7,60.4,389.0,59.9,26.2,41.4,359.0,1.0,2.41,37.9
63.8,50.9,32.5,23.9,4.03,151.0,248.0,3619.0,15.0,33.4,41.8
17.0,16.8,22.5,22.3,12.5,12.0,22.5,547.0,17.6,24.6,36.5
49.6,71.0,23.9,13.0,10.0,113.0,204.0,3308.0,15.3,67.9,340.0
20.4,18.6,54.2,322.0,54.7,51.4,75.7,235.0,20.2,37.9,45.7
14.5,13.0,26.4,18.1,9.31,41.0,75.7,638.0,1.0,2.21,42.6
36.8,22.9,5.73,1.0,15.4,36.2,62.1,1794.0,17.6,33.7,41.8
14.9,34.3,20.7,18.8,8.82,106.0,163.0,2642.0,31.9,95.6,113.0
102.0,81.3,6.1,26.4,23.9,123.0,217.0,1843.0,3.85,5.78,44.9
16.4,25.7,59.9,71.7,16.5,183.0,257.0,1811.0,4.41,31.6,81.3
22.9,15.0,3.72,1.01,9.73,89.0,126.0,368.0,1.95,5.88,21.3
80.6,86.6,64.9,294.0,27.1,47.0,61.0,491.0,23.1,38.2,52.8
9.31,6.44,22.7,16.7,18.8,123.0,202.0,3220.0,1.14,3.28,46.1
14.2,10.0,86.6,466.0,93.9,37.9,54.2,445.0,42.6,90.6,400.0
19.3,13.8,21.3,30.8,15.5,4.7,42.9,538.0,14.1,31.9,48.3
33.4,19.6,14.2,19.3,12.7,158.0,213.0,334.0,17.8,31.3,34.9
38.5,27.1,34.0,31.6,3.62,114.0,202.0,2017.0,33.4,77.7,167.0
59.4,75.0,22.7,29.2,3.75,32.2,42.6,615.0,3.37,17.6,80.6
15.3,16.7,12.2,239.0,28.1,5.33,7.99,328.0,14.6,22.7,8.06
21.7,32.5,20.7,34.3,5.57,97.3,175.0,2642.0,30.8,55.2,76.4
30.0,14.9,22.3,35.5,2.46,137.0,316.0,5829.0,1.0,14.1,13.2
31.6,13.0,26.4,37.2,1.0,23.1,35.2,1275.0,6.38,5.33,50.5
18.8,11.1,71.0,466.0,64.4,20.0,39.6,615.0,14.9,44.5,110.0
7.64,28.1,6.79,18.1,7.77,47.0,64.4,1104.0,23.7,45.7,44.9
40.7,59.9,1.86,4.41,3.19,29.2,43.3,644.0,25.7,40.0,53.8
21.9,28.1,84.3,403.0,76.4,125.0,186.0,1568.0,4.1,9.47,30.5
51.4,22.1,94.7,117.0,17.6,76.4,102.0,947.0,8.58,25.7,129.0
30.5,15.5,53.3,142.0,19.1,77.7,151.0,2738.0,94.7,179.0,328.0
8.9,13.3,74.3,359.0,54.2,7.77,21.7,519.0,10.6,7.37,43.3
37.2,19.1,11.8,19.8,7.17,8.9,17.0,588.0,1.0,1.0,44.5
13.8,9.56,16.7,146.0,19.3,175.0,223.0,661.0,10.4,42.2,70.4
11.1,25.0,85.1,552.0,93.9,20.9,35.9,331.0,18.3,22.5,32.2
17.2,6.79,28.9,29.2,11.1,11.4,30.8,552.0,3.75,4.33,44.9
61.5,93.1,17.0,21.1,1.01,4.26,15.1,599.0,23.9,38.5,106.0
17.2,13.7,57.3,97.3,31.3,37.5,66.7,2329.0,8.74,2.33,35.2
16.8,46.1,18.6,63.2,11.8,18.9,31.9,649.0,8.2,23.5,50.9
12.1,10.5,21.3,18.9,4.26,176.0,483.0,8354.0,15.1,9.06,53.8
17.3,26.4,82.8,414.0,106.0,40.0,64.9,1018.0,13.0,20.9,27.6
21.5,22.3,73.0,519.0,87.4,3.72,12.3,851.0,1.31,33.1,10.9
25.7,15.8,34.3,37.5,2.89,5.23,20.2,422.0,1.0,64.4,8.28
13.1,11.7,21.7,132.0,42.2,36.5,49.1,542.0,1.08,5.88,13.2
44.1,29.2,39.6,119.0,63.2,36.8,47.8,365.0,3.52,6.79,30.2
38.2,14.2,7.1,28.1,8.98,172.0,233.0,1075.0,8.58,25.7,57.3
32.2,35.2,35.9,276.0,61.0,44.9,62.6,418.0,8.43,32.8,77.0
34.6,18.8,54.2,313.0,54.7,16.1,34.3,704.0,1.0,13.7,8.06
4.96,12.6,47.8,57.8,19.6,3.43,19.1,655.0,19.5,42.9,62.6
28.4,31.9,59.4,257.0,57.3,6.26,17.2,382.0,10.5,18.9,57.3
69.8,50.0,20.7,19.5,12.3,59.4,104.0,337.0,34.3,72.3,139.0
32.2,21.3,104.0,519.0,87.4,45.7,61.5,1286.0,22.1,34.3,42.6
30.0,32.5,17.0,22.1,7.5,49.6,86.6,1124.0,23.1,40.0,47.0
40.7,19.5,1.26,1.07,1.55,77.7,81.3,279.0,7.7,13.0,64.9
22.1,17.2,33.1,14.6,17.0,26.9,27.4,433.0,25.5,62.6,231.0
23.3,12.0,55.2,262.0,64.9,12.3,59.9,3023.0,17.0,27.1,50.5
24.6,19.5,20.9,17.2,13.1,3.85,14.5,1208.0,11.4,15.7,77.0
73.0,93.9,27.9,29.7,1.01,89.0,132.0,1762.0,11.9,28.4,12.1
23.1,10.7,17.8,80.6,3.68,22.3,30.8,483.0,8.66,28.4,48.3
20.7,12.7,20.9,25.5,9.82,17.9,25.0,632.0,3.85,7.99,46.1
14.1,9.31,18.3,3.37,29.4,112.0,161.0,939.0,8.51,16.3,46.1
16.1,6.26,20.2,17.3,8.82,75.0,125.0,1894.0,19.1,37.5,63.8
22.1,15.8,21.3,32.2,8.98,3.85,22.3,328.0,1.47,7.23,48.7
44.9,45.7,16.1,16.8,10.3,29.2,94.7,1715.0,32.8,66.7,137.0
62.6,52.3,35.9,233.0,49.1,167.0,271.0,2207.0,6.85,12.2,44.1
45.3,62.6,21.3,17.5,15.7,65.5,95.6,1433.0,13.0,26.4,36.2
19.5,20.2,24.8,30.2,10.4,19.6,43.3,573.0,2.69,4.57,7.77
17.8,16.3,14.3,85.8,17.0,20.5,33.1,922.0,43.7,62.1,62.1
14.2,13.9,18.9,19.5,8.43,66.1,154.0,2329.0,18.6,40.7,68.5
77.0,43.3,53.3,284.0,60.4,56.2,110.0,1762.0,22.1,24.8,81.3
6.44,18.3,15.7,41.4,13.1,44.1,56.2,750.0,35.5,59.4,76.4
14.3,18.4,5.05,1.75,8.13,31.1,58.8,407.0,18.8,47.0,48.7
30.2,54.7,40.0,211.0,41.4,14.9,32.5,588.0,5.99,15.0,45.3
13.5,21.9,35.5,40.7,7.91,44.9,103.0,3460.0,1.18,18.6,58.3
93.9,52.3,30.8,31.3,14.6,74.3,137.0,1794.0,9.39,24.6,92.2
24.6,9.65,37.5,40.3,18.1,35.5,130.0,2763.0,36.8,49.6,59.9
19.8,11.7,23.5,16.7,15.1,3.37,19.3,470.0,13.7,31.1,56.7
30.2,19.8,24.4,19.8,1.0,50.0,72.3,673.0,37.2,62.1,91.4
18.1,23.7,7.77,41.8,26.2,42.9,54.2,538.0,10.6,47.0,81.3
13.8,13.2,32.5,46.6,15.0,104.0,172.0,1747.0,20.4,30.8,63.2
19.1,14.6,22.9,32.8,11.4,78.4,127.0,1596.0,13.6,29.4,30.0
20.0,16.3,26.7,176.0,10.0,106.0,168.0,2571.0,9.39,8.28,13.9
23.1,11.5,14.5,42.6,103.0,119.0,204.0,2480.0,58.3,67.3,13.2
25.3,28.6,18.3,61.5,16.4,18.4,24.1,717.0,6.73,66.1,132.0
25.0,20.5,31.1,445.0,55.2,40.0,57.8,359.0,11.8,20.4,55.7
17.0,7.04,21.7,24.4,8.66,33.1,44.1,750.0,13.5,37.9,37.9
29.7,22.3,20.0,17.2,1.38,121.0,219.0,1999.0,7.37,22.5,37.5
22.5,17.5,23.9,77.7,17.5,35.2,56.2,340.0,4.37,26.7,47.4
61.0,33.1,37.9,311.0,48.7,137.0,352.0,4698.0,47.0,85.8,157.0
17.3,10.1,28.1,27.9,3.28,44.9,66.1,403.0,7.17,23.7,42.9
129.0,109.0,41.8,161.0,48.7,5.09,15.1,644.0,16.3,39.2,88.2
21.3,16.4,21.1,22.5,16.5,3.46,25.3,578.0,7.17,36.2,48.3
91.4,41.4,24.8,319.0,38.9,17.9,30.5,956.0,18.6,34.3,79.1
14.7,22.3,27.6,35.9,13.5,9.39,20.5,382.0,1.0,12.9,13.8
19.3,10.1,5.38,4.1,2.25,7.77,17.0,982.0,9.22,24.8,49.6
28.4,21.7,38.2,170.0,37.2,29.7,39.6,692.0,9.22,17.5,69.2
72.3,76.4,17.9,15.5,16.1,63.2,109.0,947.0,25.0,82.8,205.0
6.55,10.2,16.8,22.9,1.0,82.8,113.0,679.0,14.5,20.7,59.9
12.5,5.23,69.8,131.0,50.0,21.7,31.3,414.0,10.2,74.3,3.59
32.8,18.3,23.5,23.1,3.31,53.8,85.1,610.0,10.5,35.5,53.3
19.1,10.3,20.5,78.4,18.1,26.2,35.2,505.0,6.15,17.9,54.7
24.6,11.8,30.0,30.8,14.6,32.8,48.3,362.0,3.19,3.19,50.9
16.8,13.6,75.7,123.0,46.1,6.44,37.9,1000.0,12.2,20.5,18.3
7.17,17.0,23.7,23.3,5.33,25.7,41.0,491.0,14.7,28.6,54.7
19.1,13.9,15.8,74.3,21.9,24.1,34.3,474.0,9.39,27.6,39.6
20.5,20.9,17.3,120.0,15.3,11.7,24.1,644.0,9.06,16.1,50.9
18.4,19.8,12.7,81.3,11.3,6.21,44.1,496.0,84.3,119.0,41.0
20.9,8.82,20.7,300.0,31.3,19.5,37.2,542.0,18.6,29.2,49.1
14.9,15.0,17.6,170.0,24.1,22.7,32.2,453.0,18.6,31.1,79.9
16.1,14.3,8.9,42.9,21.1,17.0,30.2,698.0,9.91,21.1,38.5
12.3,13.8,4.07,1.01,1.65,26.4,37.5,784.0,1.2,28.1,27.1
26.9,20.2,19.5,170.0,23.3,8.51,15.4,487.0,32.5,67.3,118.0
131.0,95.6,12.3,189.0,16.5,36.8,62.1,1084.0,22.1,33.7,69.8
62.1,71.0,8.9,4.45,9.56,4.41,17.3,655.0,60.4,146.0,209.0
30.0,10.3,26.7,22.1,15.4,11.3,21.1,552.0,5.42,13.0,34.3
52.8,39.2,17.2,161.0,19.5,4.83,20.0,410.0,8.66,19.3,29.7
75.0,52.8,42.2,259.0,39.6,20.4,41.4,692.0,17.8,58.3,60.4
32.2,14.3,25.3,24.4,3.85,9.56,29.2,1275.0,14.3,21.7,38.9
18.3,19.8,14.3,18.6,1.88,1.76,1.01,93.9,11.1,26.2,41.8
13.7,25.3,14.6,147.0,13.9,18.8,46.6,777.0,57.3,131.0,181.0
27.6,18.1,35.5,340.0,26.9,17.9,30.0,379.0,7.7,39.6,42.9
17.0,10.9,22.7,67.3,13.5,34.0,47.4,626.0,26.4,24.1,85.8
26.4,37.2,41.4,183.0,33.7,103.0,175.0,1395.0,15.7,29.7,59.9
19.8,20.4,21.9,25.5,2.59,67.9,104.0,407.0,1.35,28.1,47.8
7.23,38.9,90.6,418.0,73.0,26.9,36.8,262.0,7.37,16.7,35.5
145.0,88.2,21.3,30.8,12.9,158.0,264.0,3460.0,15.0,28.4,49.6
34.9,20.4,58.8,474.0,69.8,34.9,43.7,407.0,13.0,29.4,30.2
31.3,19.1,20.7,110.0,27.1,41.0,83.5,813.0,25.7,39.2,58.8
