praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
4.03,7.84,5.0,79.1,6.73,11.7,30.8,487.0,55.2,67.3,10.0
69.8,56.2,22.9,292.0,32.5,10.6,29.4,385.0,26.4,43.3,65.5
32.2,23.3,13.8,32.2,18.3,7.1,30.2,777.0,26.7,43.7,47.8
35.5,33.7,9.65,6.32,1.64,40.7,131.0,1963.0,17.6,33.7,61.5
36.2,30.0,10.4,44.1,7.37,17.3,55.2,922.0,16.5,44.9,55.2
33.1,24.4,3.96,75.0,14.5,25.3,85.1,1176.0,15.7,32.2,36.5
28.6,28.6,15.3,221.0,38.2,32.8,87.4,1827.0,2.27,1.51,18.3
42.2,34.0,3.13,5.42,2.15,41.4,138.0,3429.0,2.09,25.7,34.6
25.3,8.06,2.79,82.0,26.2,12.0,25.0,368.0,35.9,112.0,191.0
31.6,26.7,26.9,53.8,8.35,9.22,22.5,583.0,14.5,46.1,69.8
58.3,47.8,5.19,154.0,17.9,7.04,32.8,573.0,10.6,40.3,39.6
54.7,47.0,9.91,22.5,4.1,10.3,16.3,313.0,19.3,47.8,56.2
20.0,18.8,48.3,42.9,9.82,25.7,93.1,594.0,7.3,21.9,34.3
36.8,19.1,1.96,85.8,6.21,27.6,88.2,1322.0,15.3,51.4,44.9
89.0,61.0,6.73,17.3,13.2,10.8,20.5,483.0,16.5,27.6,40.7
133.0,103.0,8.35,9.14,1.51,10.2,17.8,649.0,14.5,17.6,14.7
44.1,37.9,1.75,107.0,12.4,10.3,22.9,567.0,10.6,30.0,51.4
38.2,22.1,6.67,21.3,5.47,9.47,25.5,533.0,20.4,33.1,10.8
46.1,16.1,2.59,102.0,21.1,40.3,137.0,2308.0,34.6,98.2,100.0
35.2,22.7,4.03,13.0,16.0,41.0,56.7,851.0,40.0,81.3,124.0
109.0,97.3,7.64,143.0,9.39,59.4,223.0,3398.0,2.86,54.2,4.87
93.9,55.2,1.53,121.0,5.57,54.2,158.0,2227.0,9.31,23.1,16.5
31.3,32.5,5.52,87.4,9.22,50.5,189.0,1310.0,7.99,20.9,26.9
6.38,5.67,15.4,179.0,30.5,21.9,43.7,813.0,25.3,46.1,32.8
84.3,71.7,5.28,14.5,11.4,38.2,129.0,1999.0,11.7,28.9,32.5
47.8,19.6,2.23,53.8,10.6,22.3,42.9,730.0,17.2,51.4,81.3
87.4,69.2,17.2,130.0,11.8,47.4,131.0,1981.0,23.1,47.0,22.5
30.8,31.9,16.4,13.7,5.28,9.91,31.3,655.0,1.0,4.37,5.52
37.2,29.2,17.0,40.7,17.9,33.7,145.0,2839.0,8.06,15.0,32.2
76.4,79.1,2.17,131.0,12.5,21.3,44.9,500.0,4.53,20.7,37.9
41.0,27.9,4.96,186.0,27.9,22.1,71.0,1027.0,36.8,73.0,79.9
20.7,18.8,9.73,359.0,22.7,73.0,255.0,2890.0,9.73,20.4,25.5
39.2,31.1,26.9,286.0,46.1,19.6,36.2,407.0,15.8,48.7,44.5
163.0,196.0,6.15,7.23,9.06,9.31,42.2,750.0,14.2,36.8,47.4
37.5,26.9,1.25,118.0,11.1,8.2,29.4,389.0,15.8,27.6,41.0
62.6,41.8,11.8,50.9,4.96,30.0,50.9,626.0,6.49,20.9,50.0
23.5,25.5,27.9,262.0,55.2,11.1,30.2,1275.0,16.1,40.3,38.2
146.0,118.0,11.2,16.8,4.29,18.4,75.7,1946.0,17.2,41.8,50.9
35.9,39.6,14.1,33.4,12.9,21.9,61.0,914.0,3.13,30.2,50.5
57.8,51.4,20.2,32.8,6.79,33.7,93.9,2969.0,15.0,27.1,46.1
63.8,53.3,7.99,43.3,8.28,10.0,25.0,487.0,7.37,83.5,15.0
5.42,6.38,15.3,17.3,6.61,13.1,46.1,523.0,49.1,132.0,184.0
60.4,70.4,10.4,229.0,36.5,46.6,215.0,3587.0,10.6,40.3,46.6
38.5,20.5,7.64,66.7,17.8,20.4,53.3,437.0,21.5,34.0,46.1
79.9,52.8,9.56,319.0,51.9,17.0,33.7,673.0,5.67,37.9,37.5
14.6,11.8,2.5,16.1,14.2,70.4,200.0,2393.0,12.2,47.4,30.5
39.2,25.0,5.14,262.0,37.5,12.6,31.1,396.0,14.6,15.5,51.9
135.0,135.0,6.49,89.8,10.8,41.8,64.9,461.0,18.4,49.1,58.8
36.8,26.2,9.91,153.0,18.1,43.7,102.0,1358.0,17.6,37.9,52.8
64.9,46.6,4.61,78.4,10.3,12.2,25.0,750.0,6.49,14.9,8.98
44.5,34.9,24.4,158.0,9.31,6.61,9.39,132.0,9.65,20.5,35.2
200.0,202.0,9.73,37.5,11.5,3.28,7.1,142.0,14.3,39.6,60.4
29.2,18.6,3.34,4.78,4.66,4.7,14.3,241.0,1.0,1.24,2.11
67.3,40.0,6.85,22.5,6.61,5.57,14.5,491.0,11.1,38.2,34.0
25.5,23.5,13.0,157.0,19.6,5.23,15.0,437.0,24.8,47.8,42.9
62.1,34.9,6.79,12.0,6.04,8.82,58.3,276.0,7.91,2.59,1.72
56.7,66.7,2.44,3.52,3.43,34.0,94.7,1963.0,98.2,127.0,24.1
65.5,61.0,1.5,202.0,5.94,20.2,29.7,667.0,36.2,96.5,112.0
41.0,21.7,27.6,22.5,7.1,33.1,83.5,1794.0,14.5,18.1,28.9
71.0,35.5,9.56,193.0,15.4,22.9,76.4,2207.0,41.4,102.0,158.0
38.9,21.1,42.9,225.0,29.2,9.47,32.2,147.0,6.38,25.7,7.64
72.3,45.3,6.49,9.65,3.82,17.8,40.0,644.0,8.13,21.5,35.2
65.5,44.5,10.8,19.3,8.35,32.2,112.0,1582.0,39.6,83.5,81.3
58.8,42.2,6.26,10.6,1.0,39.6,139.0,1144.0,1.95,5.09,6.26
47.4,42.6,1.81,118.0,12.1,11.1,44.9,890.0,13.0,43.7,30.5
64.9,14.1,20.4,322.0,52.3,9.65,34.6,843.0,62.1,91.4,12.2
22.9,15.5,5.73,10.0,12.9,5.19,12.4,300.0,18.8,48.3,31.6
47.4,31.3,26.9,54.2,20.7,24.1,48.7,673.0,25.5,50.0,47.4
47.0,31.3,34.6,269.0,50.9,21.9,59.9,750.0,30.8,60.4,87.4
38.9,24.4,5.05,19.8,9.22,10.9,32.8,610.0,6.73,14.3,24.8
34.6,20.0,5.19,81.3,7.64,17.3,43.3,914.0,24.1,61.5,50.9
113.0,85.1,7.5,9.39,7.23,17.5,31.3,542.0,19.8,31.6,34.6
150.0,121.0,2.11,161.0,12.6,11.9,36.8,385.0,6.85,20.2,4.78
27.6,25.9,22.9,29.2,9.73,9.22,25.7,281.0,21.7,50.9,67.9
35.5,27.9,5.23,83.5,17.2,45.7,179.0,3460.0,1.65,6.15,1.0
30.5,61.0,6.1,17.3,1.0,15.4,39.2,414.0,64.9,142.0,111.0
53.3,10.2,8.28,15.3,6.85,23.5,31.6,523.0,23.7,56.7,77.7
52.8,43.3,16.7,141.0,15.1,11.7,23.1,610.0,20.4,35.2,25.9
142.0,76.4,7.57,62.6,14.2,13.7,25.9,453.0,14.1,35.2,24.4
99.1,77.0,3.46,151.0,7.43,5.83,29.7,487.0,12.4,26.9,25.9
18.1,15.7,81.3,92.2,11.1,8.9,23.9,519.0,21.5,45.3,22.1
40.3,26.9,3.52,29.4,1.96,10.8,24.8,547.0,17.5,37.5,32.5
34.6,35.5,10.3,9.14,3.96,10.9,29.2,685.0,22.1,48.3,53.8
25.7,30.2,6.49,76.4,3.72,52.8,72.3,547.0,20.2,44.5,40.7
36.8,22.9,7.5,15.0,13.2,22.3,101.0,1446.0,42.6,63.2,69.2
15.1,3.72,35.2,255.0,41.0,38.9,62.6,743.0,15.0,32.5,30.2
67.3,55.2,28.6,294.0,53.3,34.6,76.4,1655.0,43.7,98.2,105.0
31.9,31.9,5.67,88.2,27.9,31.6,102.0,947.0,14.1,26.4,19.6
32.2,30.0,4.96,98.2,13.9,12.9,28.1,478.0,12.6,50.5,44.9
80.6,58.8,3.31,112.0,11.9,62.6,135.0,1568.0,11.3,49.1,31.1
42.6,28.6,8.58,12.4,2.27,19.1,39.6,441.0,10.0,48.3,36.2
69.2,53.8,1.0,85.1,9.91,21.1,37.2,400.0,32.8,79.1,62.1
79.9,71.7,2.69,66.1,15.0,19.8,62.1,557.0,7.91,28.4,30.5
141.0,117.0,1.61,145.0,10.6,13.5,52.3,615.0,15.8,38.2,36.5
127.0,101.0,8.82,13.7,2.44,13.2,26.4,491.0,28.6,48.3,1.0
48.3,37.5,11.7,106.0,9.31,18.3,40.0,1486.0,45.3,88.2,131.0
135.0,120.0,6.85,12.5,8.06,19.1,42.2,673.0,22.9,21.9,7.5
202.0,136.0,4.7,138.0,5.57,10.8,32.8,433.0,2.35,9.22,14.9
209.0,179.0,5.62,21.3,1.01,7.04,24.4,655.0,19.6,48.7,52.3
44.1,21.7,43.7,108.0,35.5,6.98,27.9,491.0,25.0,54.2,39.2
38.9,24.1,12.4,25.5,6.21,16.7,52.3,1286.0,16.7,41.8,29.4
99.1,118.0,6.15,39.6,13.6,7.7,21.5,58.3,20.9,49.1,34.9
38.2,15.1,2.55,13.0,6.55,13.2,27.4,400.0,23.7,43.7,64.4
46.6,34.6,4.18,10.7,2.02,46.1,135.0,2308.0,12.6,30.0,18.9
334.0,305.0,9.14,9.14,1.47,8.13,23.1,813.0,1.64,93.9,4.18
146.0,133.0,12.4,331.0,33.4,14.1,28.6,407.0,77.7,164.0,142.0
59.4,58.8,7.99,141.0,31.6,18.8,37.2,269.0,16.1,41.4,39.6
191.0,160.0,4.61,30.5,8.13,43.3,104.0,1843.0,17.9,25.0,32.8
38.2,37.2,7.1,9.73,8.9,33.7,82.0,956.0,10.0,29.4,3.43
147.0,111.0,9.39,131.0,10.6,36.8,96.5,1446.0,22.3,76.4,75.0
195.0,133.0,46.1,286.0,75.0,8.9,27.6,474.0,26.2,53.3,71.7
68.5,51.4,6.92,12.3,4.53,29.4,57.8,505.0,15.7,58.8,42.6
101.0,86.6,3.31,48.3,12.7,14.1,41.4,632.0,46.1,124.0,124.0
133.0,111.0,13.1,115.0,23.9,61.5,147.0,947.0,26.4,71.0,92.2
78.4,93.1,6.32,7.37,10.6,26.9,104.0,170.0,16.7,31.3,33.7
96.5,96.5,7.04,64.4,16.8,10.8,44.1,375.0,12.9,40.3,48.7
20.9,22.3,5.94,62.1,6.61,33.4,110.0,3685.0,22.5,43.7,32.8
110.0,53.3,1.0,44.9,4.0,6.44,26.7,661.0,48.3,64.4,34.6
188.0,126.0,5.14,44.1,7.1,13.8,53.3,533.0,13.1,28.4,22.5
191.0,127.0,1.0,98.2,9.65,20.0,49.6,519.0,7.04,19.3,12.7
50.0,28.4,9.73,72.3,8.74,10.3,35.9,750.0,8.58,16.7,38.5
29.2,23.9,36.8,198.0,41.4,41.0,105.0,1486.0,31.9,71.0,53.8
63.8,44.9,31.6,25.3,8.66,10.6,40.0,610.0,32.2,88.2,71.7
147.0,146.0,16.3,21.5,6.49,12.5,35.5,255.0,26.9,56.7,60.4
41.8,30.8,7.77,14.1,6.73,17.2,45.3,379.0,15.0,31.1,29.2
34.6,27.1,6.49,153.0,27.6,22.5,66.7,2350.0,18.4,46.6,34.0
78.4,50.5,6.1,14.5,21.9,21.5,75.7,1596.0,17.5,19.3,28.1
165.0,110.0,26.7,17.6,10.9,20.4,44.1,567.0,7.77,16.4,14.5
58.8,37.5,3.49,118.0,16.7,32.8,91.4,2436.0,4.07,35.9,18.9
135.0,92.2,1.43,229.0,31.3,17.5,37.9,286.0,11.7,30.0,16.4
31.9,25.0,1.91,151.0,16.8,8.98,17.2,429.0,13.0,34.9,40.7
38.9,22.7,6.61,178.0,6.21,25.7,56.7,621.0,6.61,32.2,13.0
34.9,34.9,6.1,16.3,5.83,15.5,32.5,478.0,23.7,43.7,43.7
83.5,64.9,5.94,80.6,13.8,16.1,36.5,453.0,13.2,18.8,4.29
40.7,25.7,13.0,30.0,4.78,38.5,92.2,1446.0,15.0,32.5,34.3
44.1,30.2,57.8,429.0,83.5,17.8,76.4,1310.0,14.9,41.8,79.9
74.3,71.7,17.2,21.1,16.1,11.7,18.8,461.0,20.9,44.1,53.8
49.1,28.6,5.73,11.7,2.5,19.5,80.6,799.0,22.1,52.3,7.1
239.0,196.0,1.78,109.0,13.8,29.7,88.2,1640.0,8.13,10.0,9.22
59.9,46.6,34.6,36.5,6.85,9.14,46.1,858.0,42.2,106.0,122.0
40.7,37.5,7.17,74.3,7.1,21.1,77.7,1999.0,7.1,22.9,27.1
34.6,17.8,6.21,74.3,2.97,46.1,89.8,1322.0,4.78,52.3,2.29
40.7,27.4,30.2,45.3,24.1,55.7,132.0,1860.0,10.9,35.5,24.1
103.0,75.7,31.9,259.0,45.3,50.5,129.0,1625.0,14.6,34.3,20.7
149.0,138.0,4.33,11.0,1.14,59.9,202.0,2308.0,15.1,30.8,57.3
8.13,13.9,19.8,19.8,21.7,5.94,14.1,429.0,2.84,25.9,30.2
35.2,22.7,10.4,11.1,5.83,21.3,69.8,1540.0,15.5,38.5,49.6
36.5,33.7,3.0,121.0,8.82,41.8,136.0,1946.0,17.0,47.4,44.5
35.5,20.9,4.83,52.8,8.51,41.4,127.0,2167.0,20.9,34.3,35.9
55.2,50.9,6.38,15.8,4.29,35.5,94.7,1946.0,15.8,44.9,34.9
34.9,25.7,1.36,81.3,9.14,10.0,34.6,914.0,37.9,90.6,88.2
63.2,48.3,26.4,36.2,7.64,49.6,145.0,1963.0,16.7,30.5,46.6
48.3,37.2,17.9,21.3,1.68,13.1,30.8,359.0,12.7,30.5,25.5
36.8,27.6,1.79,117.0,8.82,14.9,81.3,914.0,15.1,34.0,31.3
142.0,135.0,7.1,165.0,6.49,33.7,82.8,1124.0,6.1,31.6,3.62
23.9,12.9,10.1,32.8,11.1,18.9,51.4,594.0,14.1,34.3,35.5
41.4,22.7,10.8,281.0,27.1,23.7,75.7,1670.0,33.4,71.0,79.1
75.7,17.8,7.57,16.0,8.74,3.82,7.84,123.0,51.9,107.0,101.0
27.9,27.4,16.7,28.6,14.6,12.5,22.1,255.0,132.0,297.0,328.0
157.0,103.0,37.9,41.0,22.5,16.5,42.6,552.0,42.9,83.5,92.2
34.3,25.0,27.6,289.0,45.7,19.6,45.3,478.0,1.15,40.0,7.77
