praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
4.37,2.97,2.76,160.0,30.5,47.0,79.9,1963.0,12.3,16.7,14.3
20.4,16.8,21.5,13.0,3.85,3.75,14.9,346.0,14.3,29.7,36.5
20.0,26.7,18.6,19.6,18.4,9.65,11.5,372.0,27.1,81.3,139.0
3.34,9.06,32.2,179.0,40.7,33.1,65.5,1252.0,11.9,39.6,58.8
40.7,22.7,64.9,491.0,119.0,123.0,186.0,1407.0,34.0,88.2,109.0
26.4,18.4,6.98,8.43,17.3,38.2,59.4,483.0,10.6,24.4,58.8
26.4,18.6,6.21,126.0,5.62,4.45,11.8,453.0,27.9,55.2,99.1
28.1,36.5,5.62,313.0,62.6,85.1,154.0,1963.0,37.9,74.3,115.0
66.7,63.2,2.94,153.0,29.7,50.0,84.3,1596.0,15.0,26.9,73.0
112.0,65.5,16.4,13.2,26.7,35.9,52.3,1197.0,9.06,21.9,43.3
27.9,25.9,7.84,12.1,9.39,22.7,44.9,466.0,26.9,61.0,94.7
68.5,66.1,23.1,32.5,27.4,79.9,143.0,1114.0,61.0,223.0,302.0
16.0,22.9,6.79,19.8,6.32,75.0,205.0,3191.0,34.3,80.6,79.1
20.5,13.1,9.56,77.0,15.1,10.2,26.4,638.0,52.8,135.0,229.0
56.7,37.9,25.0,25.7,4.33,8.58,22.3,241.0,23.3,51.4,98.2
26.9,15.8,41.4,355.0,63.8,24.4,61.0,1310.0,12.4,20.2,27.1
202.0,114.0,5.42,16.8,16.3,42.2,80.6,1334.0,8.82,25.0,53.8
111.0,69.2,1.39,102.0,27.9,6.32,18.4,1407.0,11.9,26.7,62.6
79.9,67.3,3.49,6.67,14.2,34.6,87.4,791.0,31.3,92.2,155.0
82.8,74.3,45.3,168.0,42.9,6.26,20.2,750.0,37.9,89.0,164.0
36.2,22.3,4.49,72.3,11.2,33.7,60.4,1670.0,14.7,30.2,36.8
28.1,35.2,6.92,1.96,14.1,96.5,183.0,2091.0,32.8,98.2,170.0
38.9,13.2,11.7,31.1,37.5,2.39,12.1,866.0,13.8,20.9,30.5
35.9,30.5,7.77,2.27,18.3,20.9,82.0,1877.0,8.74,25.7,50.5
54.2,37.2,8.58,18.9,13.0,86.6,147.0,2054.0,10.7,10.8,38.2
11.3,17.6,32.2,414.0,98.2,54.2,127.0,3619.0,13.8,62.1,58.3
108.0,96.5,31.6,109.0,68.5,38.9,77.7,1640.0,16.0,43.7,50.0
28.1,15.4,2.13,22.7,16.5,8.28,25.5,615.0,14.2,43.7,34.9
44.5,43.3,21.9,403.0,89.0,37.5,82.0,1946.0,12.4,23.7,50.0
22.3,22.7,21.5,24.6,13.6,8.58,7.17,100.0,8.58,33.4,54.2
36.2,19.6,3.28,114.0,21.1,16.5,57.3,1009.0,23.3,67.3,132.0
29.4,21.3,9.31,78.4,26.2,38.5,56.7,982.0,8.9,17.3,29.4
87.4,62.6,48.3,244.0,85.1,33.4,52.3,750.0,42.2,82.8,69.2
49.6,47.0,7.84,16.7,10.9,71.7,136.0,1104.0,18.3,49.1,50.9
35.9,28.4,11.2,15.7,7.1,2.17,26.7,184.0,12.0,22.7,37.2
97.3,72.3,5.23,17.2,4.96,50.0,91.4,2642.0,7.57,26.9,33.7
31.6,21.5,6.98,11.9,8.28,93.1,189.0,1894.0,11.8,31.1,65.5
103.0,67.3,11.9,211.0,52.3,12.1,32.2,621.0,16.4,29.2,36.2
18.4,16.5,8.74,437.0,62.1,8.51,18.8,400.0,9.22,25.9,34.3
28.9,22.5,3.89,269.0,25.9,10.8,51.9,269.0,13.3,29.4,38.5
36.2,12.6,16.7,400.0,95.6,13.8,29.2,698.0,9.31,37.2,31.9
24.6,17.9,1.93,189.0,10.7,63.8,127.0,1540.0,22.9,61.0,98.2
204.0,188.0,6.67,131.0,38.5,11.0,20.9,453.0,61.5,157.0,267.0
142.0,81.3,13.9,392.0,73.7,117.0,202.0,2072.0,10.8,20.0,30.2
29.7,18.8,9.56,209.0,21.5,47.8,92.2,1999.0,15.4,38.2,40.7
31.9,21.7,36.5,355.0,129.0,25.0,40.0,542.0,66.1,146.0,225.0
64.4,64.9,9.82,153.0,38.5,16.8,37.5,1499.0,28.9,47.4,57.8
25.7,4.61,51.9,372.0,77.7,9.39,23.7,514.0,13.6,35.2,81.3
42.9,29.4,18.8,18.9,13.5,11.2,23.9,1104.0,16.8,26.7,57.8
15.3,17.6,27.4,229.0,14.6,80.6,133.0,2943.0,21.5,26.7,41.8
24.6,26.2,37.9,55.7,5.78,44.5,55.7,667.0,15.5,46.1,51.4
17.3,12.5,4.74,163.0,22.3,17.0,30.5,528.0,13.6,22.5,27.4
84.3,71.0,3.89,74.3,6.85,35.5,77.7,1472.0,16.5,53.8,66.7
34.9,35.5,104.0,806.0,91.4,75.7,110.0,1747.0,14.2,38.9,63.8
55.7,38.5,2.94,8.51,1.21,28.1,51.9,717.0,40.7,95.6,165.0
35.9,24.8,26.2,29.7,16.5,6.92,18.1,667.0,12.4,28.9,38.9
13.7,10.5,8.06,7.7,5.0,28.6,54.7,1499.0,11.7,23.9,35.2
37.5,17.3,8.74,14.6,8.9,9.31,43.3,445.0,7.23,37.9,49.1
39.2,30.0,19.1,48.7,26.2,46.6,72.3,1370.0,8.2,23.7,21.1
67.3,55.2,8.13,70.4,12.4,21.3,41.0,343.0,8.35,26.4,32.5
23.1,14.2,4.0,12.7,5.67,47.4,106.0,1459.0,16.8,36.8,43.7
28.6,16.7,13.5,422.0,85.8,20.5,34.6,621.0,12.1,28.1,32.8
25.5,9.82,3.65,297.0,56.7,16.4,28.1,632.0,15.4,25.7,42.9
7.3,7.57,8.98,340.0,66.7,54.2,88.2,1176.0,16.1,19.1,43.7
176.0,292.0,3.52,97.3,8.58,37.9,61.0,1762.0,9.65,16.1,41.4
35.5,27.6,28.9,39.2,15.1,40.3,65.5,1911.0,11.9,32.5,18.6
27.9,22.9,6.1,93.9,27.4,13.7,29.4,939.0,8.9,36.2,19.1
53.8,46.6,1.0,410.0,56.2,16.4,94.7,2091.0,16.7,20.0,51.9
150.0,89.0,3.82,181.0,26.4,21.9,35.5,743.0,13.1,33.4,34.0
38.2,25.3,9.47,5.99,4.14,67.3,129.0,3652.0,12.6,41.4,25.5
19.5,25.5,13.5,11.7,15.8,9.65,27.1,313.0,12.9,35.9,43.3
29.4,24.6,26.9,18.9,19.8,27.4,52.8,698.0,13.1,28.6,38.9
53.3,26.4,8.98,59.4,9.56,53.8,73.0,1197.0,16.8,31.1,31.3
37.9,28.4,34.6,61.0,28.4,3.62,16.5,365.0,10.0,12.2,51.9
108.0,81.3,24.8,389.0,70.4,48.3,73.7,1794.0,18.3,31.6,38.2
37.9,29.7,18.3,32.2,14.2,8.66,37.5,213.0,7.57,28.6,31.6
111.0,136.0,34.9,28.4,17.0,17.9,22.1,599.0,6.1,17.8,42.2
94.7,123.0,4.41,461.0,61.0,100.0,136.0,1322.0,7.3,28.4,34.3
28.9,21.1,10.0,7.64,6.15,69.8,118.0,2207.0,12.6,48.7,50.0
47.8,22.3,7.04,10.2,13.1,54.7,179.0,2207.0,13.2,36.2,59.4
32.2,34.6,12.7,132.0,11.2,37.2,87.4,1715.0,44.9,107.0,124.0
9.82,13.8,15.3,6.1,30.8,20.7,37.5,594.0,11.5,25.3,49.1
19.6,19.3,32.2,491.0,136.0,20.0,33.4,939.0,8.2,26.7,42.2
29.2,22.5,9.56,13.6,4.87,139.0,186.0,491.0,10.9,20.2,40.0
29.7,25.7,19.6,16.4,15.8,13.3,28.6,1472.0,12.5,34.0,41.0
22.3,11.8,14.1,5.73,2.17,39.2,66.1,1928.0,11.8,28.6,26.7
55.7,43.3,8.28,55.2,8.74,68.5,120.0,3191.0,18.3,37.2,54.2
15.1,20.4,26.7,27.4,11.1,28.1,45.7,322.0,9.47,24.8,20.0
31.1,18.3,7.99,12.6,5.09,9.65,22.7,542.0,13.0,27.1,39.2
47.0,45.7,13.3,16.8,4.96,22.7,39.6,914.0,11.4,21.9,19.8
16.5,26.9,24.4,23.9,4.1,12.0,31.3,685.0,9.31,14.2,50.5
59.9,33.4,14.2,12.4,2.19,46.1,79.9,1446.0,12.3,29.4,28.1
34.0,32.2,1.47,145.0,25.7,49.1,68.5,890.0,3.08,93.1,3.59
93.1,110.0,9.73,368.0,63.8,12.5,50.0,947.0,14.2,65.5,89.0
60.4,55.2,15.4,21.1,22.3,22.9,53.3,1700.0,39.2,73.7,101.0
102.0,71.0,1.0,109.0,18.3,48.7,72.3,1000.0,16.3,44.9,67.3
31.1,30.0,8.98,41.4,4.53,29.7,63.2,820.0,11.4,27.1,36.2
90.6,87.4,17.6,22.9,17.2,25.9,40.3,578.0,9.39,25.5,20.7
23.9,16.4,13.3,15.8,7.23,28.6,57.8,661.0,9.31,36.2,21.5
32.5,11.7,3.43,253.0,31.1,9.91,51.4,491.0,12.5,37.9,51.9
56.2,42.6,26.7,28.4,25.0,112.0,231.0,4411.0,13.7,19.1,55.7
31.6,24.8,8.9,215.0,42.2,42.6,75.7,2091.0,18.6,38.5,48.7
79.1,41.4,48.7,89.0,21.3,18.3,31.1,372.0,11.2,15.0,36.2
24.6,16.7,2.46,262.0,10.3,29.4,46.6,523.0,10.2,23.9,40.0
40.3,44.5,6.67,10.4,8.58,75.7,124.0,1526.0,12.9,23.9,38.5
42.2,21.7,5.33,13.1,4.78,22.7,33.1,1263.0,11.3,36.5,44.9
4.29,7.7,11.7,89.0,12.0,42.6,81.3,3786.0,15.1,27.6,27.4
57.3,37.5,71.0,223.0,98.2,276.0,578.0,8660.0,16.5,28.6,43.3
32.5,20.5,17.8,217.0,43.7,9.06,12.4,200.0,13.1,28.6,24.6
39.6,20.0,4.41,123.0,7.43,16.0,28.1,523.0,19.6,38.9,48.3
25.9,20.2,2.15,165.0,21.5,29.7,43.7,1000.0,16.1,37.5,53.3
30.0,30.2,13.9,13.1,10.0,54.2,101.0,1395.0,15.4,34.3,33.1
42.6,18.6,4.78,87.4,7.17,39.6,63.2,509.0,12.7,20.7,31.6
28.9,25.5,20.9,20.7,10.0,29.4,61.0,906.0,13.8,42.9,72.3
221.0,151.0,10.2,165.0,62.1,11.0,21.9,229.0,36.8,78.4,237.0
5.05,12.0,1.0,322.0,57.8,15.3,37.5,2167.0,56.7,73.0,12.9
61.0,36.2,10.9,5.23,5.83,52.3,82.0,764.0,13.1,37.2,36.8
29.2,25.9,7.99,8.58,1.0,25.7,49.1,610.0,16.0,38.2,55.7
44.9,24.4,7.23,54.2,10.0,58.3,73.7,922.0,12.0,25.0,46.6
20.7,17.9,7.1,5.0,1.2,63.2,110.0,1407.0,7.64,25.7,29.4
123.0,136.0,11.4,255.0,54.2,9.65,28.6,890.0,18.4,64.9,82.0
36.8,37.2,7.99,8.43,11.7,17.5,33.1,474.0,15.0,24.6,25.3
109.0,73.7,26.4,23.1,17.9,14.2,28.9,723.0,14.1,32.2,26.9
88.2,59.9,19.3,158.0,75.7,139.0,231.0,2288.0,16.4,39.2,35.9
29.2,17.2,3.31,143.0,25.3,24.1,37.2,828.0,36.8,82.8,107.0
63.8,37.5,12.3,14.7,12.4,31.1,52.8,567.0,8.51,19.3,59.4
28.1,33.1,5.19,21.5,1.01,8.2,17.5,433.0,24.6,51.4,110.0
11.4,12.7,15.1,235.0,61.5,3.37,12.9,573.0,14.1,24.6,21.9
35.2,34.6,8.74,7.99,9.65,3.34,13.7,164.0,21.3,31.9,47.4
38.2,34.6,12.0,12.1,13.3,75.7,119.0,1075.0,15.7,33.4,22.9
95.6,62.6,9.06,11.3,8.9,45.3,139.0,3652.0,18.1,22.9,28.4
49.6,34.3,1.78,9.56,1.0,48.3,88.2,1322.0,15.8,37.9,40.3
31.9,26.7,3.22,313.0,31.9,55.2,109.0,1540.0,7.1,33.7,32.5
32.5,27.9,4.1,40.3,11.7,9.91,22.5,615.0,20.7,42.2,90.6
31.6,23.1,13.1,365.0,62.1,42.2,67.9,1446.0,17.8,20.5,39.2
23.1,22.9,20.2,365.0,71.0,19.8,41.4,991.0,27.1,82.8,225.0
25.5,29.2,4.03,86.6,18.8,135.0,211.0,1999.0,9.65,23.5,45.3
36.2,26.9,12.0,10.8,12.9,15.5,37.2,449.0,13.6,29.7,30.8
57.3,37.2,17.0,19.5,9.31,7.84,12.1,615.0,11.1,47.0,55.7
24.1,23.3,9.47,14.6,10.3,41.4,64.4,328.0,10.8,21.3,31.9
42.9,23.9,6.49,429.0,64.4,9.22,14.7,784.0,5.83,14.6,27.4
47.0,28.9,9.91,8.66,10.3,21.9,53.8,710.0,10.4,31.1,39.6
23.1,21.5,6.67,5.52,11.5,70.4,125.0,1358.0,7.77,38.5,38.5
101.0,57.3,18.4,23.9,5.23,30.0,129.0,1911.0,8.51,31.3,44.1
40.7,35.2,14.2,41.8,22.7,6.44,26.2,346.0,40.7,77.0,117.0
65.5,46.1,3.02,8.2,10.6,25.3,52.8,791.0,14.3,23.1,41.8
41.0,34.3,1.26,382.0,52.3,28.9,56.7,1582.0,17.0,25.3,1.43
102.0,74.3,9.73,313.0,56.2,52.3,81.3,1286.0,17.5,34.6,54.7
28.9,5.94,7.91,5.0,2.69,31.3,83.5,2072.0,44.5,100.0,130.0
29.4,20.9,8.82,17.0,8.28,11.7,19.5,965.0,12.3,32.8,38.2
33.1,19.1,4.78,14.9,15.1,37.9,78.4,1655.0,12.7,20.9,33.4
28.1,35.5,8.82,15.4,10.0,146.0,211.0,1554.0,9.06,27.6,31.9
13.0,21.7,2.57,18.8,9.39,82.0,139.0,1670.0,19.1,30.8,47.4
50.5,52.3,3.85,10.6,13.0,31.1,50.9,1065.0,13.9,30.8,48.7
42.6,20.4,6.61,8.9,9.65,20.9,76.4,1046.0,13.8,33.7,30.2
35.9,38.2,4.49,150.0,50.5,70.4,90.6,519.0,19.6,63.8,58.8
38.5,37.5,8.74,21.5,13.2,16.3,30.2,441.0,11.8,14.1,26.4
41.8,21.9,8.13,13.6,3.65,5.73,12.5,982.0,35.9,96.5,99.1
57.8,50.9,4.61,235.0,42.2,10.1,41.8,615.0,10.3,32.8,33.7
2.19,4.18,3.46,16.3,7.99,56.2,101.0,2788.0,33.1,63.2,147.0
21.7,9.14,7.43,57.3,14.5,32.5,53.3,723.0,40.7,82.8,89.0
59.9,37.5,1.67,227.0,29.7,36.8,59.4,1486.0,15.3,22.5,24.6
39.6,19.6,12.5,325.0,52.8,184.0,246.0,723.0,7.23,23.3,21.7
8.43,10.4,17.6,21.7,10.6,55.7,118.0,2943.0,14.3,34.6,55.7
264.0,160.0,11.0,141.0,29.4,26.4,65.5,2129.0,51.4,151.0,200.0
125.0,124.0,31.3,292.0,85.1,38.5,82.0,1286.0,12.3,24.8,40.3
24.6,30.5,7.91,22.1,20.0,21.7,37.9,322.0,10.9,26.4,28.4
114.0,138.0,5.99,92.2,28.1,30.8,44.9,349.0,17.8,31.6,34.9
18.3,17.3,9.14,10.8,4.57,31.6,58.3,1640.0,16.0,26.4,23.3
34.6,32.5,3.92,90.6,20.9,7.37,22.5,1084.0,13.6,34.9,34.3
25.9,17.6,2.81,9.73,4.14,5.83,22.1,1811.0,14.7,23.7,33.7
55.2,27.4,47.8,104.0,60.4,47.0,85.8,1640.0,29.4,67.3,79.1
34.3,22.9,9.39,85.8,36.2,6.73,29.2,835.0,22.7,63.8,135.0
33.7,26.7,21.7,573.0,105.0,18.6,28.4,403.0,13.6,27.1,47.8
53.8,34.9,8.58,11.7,5.94,8.74,19.5,343.0,11.3,34.3,38.9
30.8,12.2,5.67,24.4,8.06,13.1,32.8,685.0,12.9,24.8,20.5
41.0,28.9,11.0,15.4,10.0,19.8,43.3,828.0,13.3,25.7,32.8
33.7,21.5,50.0,98.2,53.3,13.9,28.6,679.0,13.3,36.5,29.2
45.3,23.5,36.5,403.0,65.5,13.3,31.6,509.0,14.5,26.7,58.8
66.1,51.4,10.8,414.0,74.3,15.5,30.5,632.0,20.5,20.7,44.5
21.3,15.8,23.7,17.0,15.4,8.43,25.3,1420.0,12.2,30.8,24.8
84.3,98.2,82.0,105.0,58.8,13.9,32.2,583.0,58.8,124.0,325.0
38.5,20.2,15.7,322.0,61.5,27.1,60.4,906.0,12.5,28.6,59.4
42.2,28.9,11.9,12.7,2.29,11.9,21.5,340.0,11.8,32.2,39.6
25.9,14.2,11.9,21.9,34.9,7.99,18.6,1134.0,23.1,56.7,94.7
133.0,68.5,11.8,10.8,15.5,34.0,54.7,355.0,16.5,28.1,33.1
44.5,25.7,12.7,2.07,7.04,11.7,35.2,828.0,8.82,24.1,28.1
35.5,26.7,5.52,18.8,3.08,5.38,18.9,271.0,16.4,42.9,28.4
30.8,24.1,2.62,227.0,26.4,38.9,60.4,806.0,10.7,31.9,49.1
32.5,27.4,9.65,5.19,8.35,12.5,18.8,673.0,22.1,44.9,55.2
37.2,19.3,8.58,118.0,12.5,3.55,11.9,547.0,10.8,28.1,45.3
71.7,47.0,21.3,20.9,1.23,38.9,63.2,418.0,6.44,14.6,31.3
40.3,26.2,21.5,18.6,5.78,15.3,42.6,2436.0,14.2,32.5,41.4
46.6,26.7,1.0,281.0,7.1,105.0,239.0,4105.0,14.7,23.9,49.6
149.0,107.0,4.14,31.6,18.3,127.0,237.0,3523.0,24.1,53.3,89.0
41.8,24.1,15.4,18.9,14.6,45.7,82.8,615.0,16.8,31.3,39.6
112.0,108.0,2.02,110.0,31.9,23.7,56.2,1747.0,13.6,15.8,27.1
183.0,105.0,32.5,55.2,14.1,6.1,20.0,1219.0,15.8,16.3,33.7
204.0,139.0,3.02,89.0,9.73,8.66,17.9,359.0,9.82,16.3,21.9
24.4,16.5,7.64,39.6,5.28,4.1,11.7,764.0,8.43,22.5,35.9
100.0,79.9,149.0,400.0,131.0,81.3,107.0,610.0,21.1,62.1,95.6
20.9,26.2,34.6,83.5,26.7,67.9,120.0,2227.0,15.3,40.0,35.9
34.0,20.4,8.98,57.8,3.11,54.7,82.0,2129.0,35.2,62.1,88.2
43.7,37.9,14.7,25.0,7.84,8.2,28.4,1762.0,9.31,34.6,50.0
